Country,Regulation Status,Policy Lever,Governance Type,Actor Involvement,Enforcement Level,Specific Laws,Sources,Last Updated,Confidence
Malawi,"Malawi participates in the African Union's human rights-centered approach to AI governance through regional frameworks and documentation, but lacks domestically enacted AI-specific legislation. The country is in an early stage of AI regulation, primarily influenced by continental initiatives rather than national policy.","Data and computing export controls are identified as a policy mechanism, though implementation details remain limited. Malawi's approach is largely aspirational, aligned with AU recommendations rather than actively deployed regulatory tools.",Governance follows a case-by-case and organizational approach focused on developing private sector engagement and human-centered principles. Multi-stakeholder coordination is emerging but institutional capacity for AI governance remains nascent.,"Primary actors include the African Union (regional framework), UNDP (capacity building), and G7 (international coordination), with Malawi as a participating nation. Engagement is primarily at the continental and international level rather than through domestic institutional leadership.",No active domestic enforcement mechanisms for AI regulation have been established; oversight is conceptual rather than operational.,,,2026-03-21,low
Malaysia,"Malaysia is developing AI governance through a risk-based approach with an AI ethics framework in progress, alongside the Cyber Security Bill 2024. No dedicated AI-specific legislation has been enacted yet, but the regulatory landscape is transitioning from voluntary guidelines to structured frameworks.","Malaysia uses data-driven policy mechanisms to attract FDI and develop digital economy capabilities, with targeted incentives for technology adoption and ASEAN-aligned standards. Policy focuses on positioning Malaysia as a regional AI hub while building domestic digital infrastructure.",Malaysia employs case and organizational governance with emphasis on developing national AI companies and sector-specific oversight. Governance structures are emerging through government agencies and industry collaboration rather than centralized regulatory bodies.,"Key actors include ASEAN member coordination, Malaysian government agencies, technology companies, and FDI investors across ASEAN and broader developing economies. International alignment with ASEAN frameworks shapes Malaysia's multi-stakeholder governance approach.",Enforcement mechanisms remain limited with reliance on voluntary compliance and industry self-regulation pending formal legislation implementation.,Cyber Security Bill 2024,https://www.malaysia.gov.my|https://www.asean.org/asean-digital-masterplan/,2026-03-21,medium
Maldives,"Maldives has no dedicated AI regulation framework as of March 2026. The country lacks specific legislation governing artificial intelligence development, deployment, or use.",No formal AI policy levers or mechanisms are in place. Maldives relies on general ICT and data protection frameworks without AI-specific policy instruments.,"Governance of AI-related matters falls under the Ministry of Arts, Culture and Heritage and the Maldives Monetary Authority for financial sector applications, but no dedicated AI governance body exists.","Limited involvement from government agencies and civil society in AI governance. International engagement is minimal, with no notable participation in global AI governance initiatives or agreements.",No enforcement mechanisms specific to AI regulation exist in Maldives as of 2026.,,,2026-03-21,medium
Mali,Mali lacks comprehensive domestic AI regulation and relies on regional African Union frameworks promoting human rights-centered AI governance. The country is in early stages of engagement with international AI policy initiatives through AU coordination.,"Mali has not implemented specific data or computing export controls domestically, though it participates in African Union discussions on data governance. Policy mechanisms remain largely aspirational rather than operationalized.","Mali's AI governance approach is developmental, focused on capacity building and private sector engagement through international partnerships. Governance structures remain nascent with limited institutional frameworks for AI oversight.","The African Union, UNDP, and G7 influence Mali's AI policy direction through regional initiatives and technical assistance programs. Mali participates in continental AI governance discussions but maintains limited independent regulatory institutions.","Mali has minimal enforcement mechanisms for AI governance, with no dedicated regulatory bodies or compliance monitoring systems in place.",,,2026-03-21,low
Malta,"Malta implements the EU AI Act as a member state, establishing a risk-based regulatory framework that classifies AI systems from prohibited to high-risk and other AI systems with transparency obligations. National implementation measures complement the EU framework, with ongoing legislative developments including the draft AI Liability Directive.","Malta employs data protection, human rights safeguards, and democratic governance mechanisms as policy levers, focusing on mitigating future AI risks through institutional frameworks. The approach emphasizes transparency, accountability, and compliance with EU standards on fundamental rights and rule of law.",Malta operates under a dual governance structure combining organizational governance (national AI oversight bodies and sectoral regulators) with EU-level model governance through the European AI Board and coordinated enforcement mechanisms. Governance balances national implementation with EU harmonization requirements.,"Multiple actors engage at regional and intergovernmental levels, including the Maltese government, EU institutions, national regulatory authorities, and sectoral supervisors operating within the EU AI Act framework. Malta participates in EU-wide coordination mechanisms and international AI governance discussions.","Enforcement occurs through national competent authorities and EU bodies with powers to impose fines, conduct audits, and issue compliance orders under the AI Act, with coordination mechanisms for cross-border enforcement across EU member states.","EU AI Act (2024), Draft AI Liability Directive (in progress)",https://www.gov.mt/en/Government/Government%20of%20Malta/Pages/default.aspx|https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-act_en,2026-03-21,medium
Marshall Islands,"The Marshall Islands has not developed dedicated AI regulation or policy as of March 2026. The country lacks formal legislation, national AI strategies, or regulatory frameworks governing artificial intelligence development and deployment.","No identifiable policy mechanisms or instruments for AI governance are currently in place. The Marshall Islands has not adopted voluntary guidelines, standards, or regulatory approaches.","No established governance structure for AI regulation exists. There is no designated regulatory body, ministry, or agency responsible for AI oversight.","Limited institutional capacity and minimal involvement from government, private sector, or international organizations in AI governance. The Marshall Islands' small economy and limited technological sector have not triggered AI policy development.","No enforcement mechanisms, compliance monitoring, or regulatory oversight for AI systems exist.",,,2026-03-21,medium
Mauritania,Mauritania lacks dedicated national AI legislation as of March 2026. The country is aligned with African Union human-rights-centered AI governance frameworks but has not enacted binding domestic AI regulations. Policy development remains at early stages through regional coordination rather than national statute.,Data and computing export controls exist as general trade mechanisms but lack AI-specific targeting. Mauritania has not implemented dedicated AI-focused data governance or computing resource restrictions.,Governance remains largely organizational and case-by-case rather than systemic. Private sector engagement in AI governance is emerging through regional African Union initiatives but lacks formal institutional structures within Mauritania.,Mauritania participates in African Union AI governance frameworks alongside G7 and UNDP engagement. Involvement is primarily through continental coordination mechanisms rather than direct bilateral regulation.,No dedicated AI enforcement mechanisms exist; oversight relies on general regulatory bodies without AI-specific compliance audits or penalties.,,,2026-03-21,low
Mauritius,"Mauritius is adopting a human-rights-centered approach to AI governance primarily through African Union initiatives and regional frameworks rather than standalone national legislation. The country remains in early-stage engagement with AI regulation, relying on guidelines and blueprints promoted through continental bodies.","Data and computing export controls are identified as policy mechanisms, though implementation appears limited. Mauritius is leveraging international frameworks rather than deploying comprehensive domestic policy levers.",Mauritius employs case-by-case and organizational governance with emphasis on developing private sector engagement and human-centered approaches. The governance model remains nascent with limited institutional infrastructure for systematic AI oversight.,"The African Union, G7, and UNDP are primary actors shaping Mauritius's AI policy landscape through regional coordination and capacity-building initiatives. Mauritius participates in these multilateral frameworks but lacks independent domestic AI governance institutions.","Enforcement mechanisms are minimal, with reliance on voluntary compliance and soft governance through international guidelines rather than domestic legal penalties or active regulatory oversight.",,,2026-03-21,low
Mexico,"Mexico has a draft AI regulation bill in progress based on a risk-based approach, aligned with EU and regional models. The Law for the Ethical Regulation of Artificial Intelligence remains in draft form as of March 2026, with no comprehensive binding legislation enacted.",Mexico is establishing governance through a National Artificial Intelligence Commission and designating the Federal Telecommunications Institute (FTI) as the enforcement authority. Policy mechanisms rely on data protection frameworks and risk-based classification systems.,Mexico employs model governance through data protection and risk-based classification of AI applications. Governance structure is still under development with multiple institutional actors being coordinated through the nascent National AI Commission.,"Mexico participates actively in regional governance through the Intergovernmental Council on Artificial Intelligence for Latin America and the Caribbean, having signed the Santiago Declaration (2023) and the Ibero-American Charter of Artificial Intelligence in Public Administration (2023). Domestic actors include federal agencies, telecommunications regulators, and data protection authorities.","Enforcement mechanisms remain underdeveloped as the primary legislation is still in draft form; soft enforcement through proposed institutional frameworks (FTI, National AI Commission) is anticipated but not yet operational.","Law for the Ethical Regulation of Artificial Intelligence for the Mexican United States (2023, draft)",https://www.gob.mx/ifetel|https://www.gob.mx/ia,2026-03-21,medium
Micronesia,Micronesia has no dedicated AI regulation or national AI policy as of March 2026. The country has not enacted specific legislation governing artificial intelligence systems or their deployment.,No formal policy mechanisms or regulatory frameworks exist for AI governance. Micronesia relies on general data protection and ICT policies if applicable.,Governance structure for AI regulation is absent. Micronesia has not established dedicated agencies or inter-agency coordination bodies for AI oversight.,"Limited involvement from government, private sector, or international organizations in AI policy development within Micronesia. Participation primarily through regional Pacific island forums and international bodies.",No enforcement mechanisms exist for AI governance as regulatory frameworks are absent.,,,2026-03-21,medium
Moldova,"Moldova applies the EU AI Act as part of its alignment with EU regulations through its association and eventual accession framework. The country implements a risk-based approach categorizing AI systems as prohibited, high-risk, or other systems with varying transparency obligations. National implementation measures and regulatory guidelines have been developed to operationalize EU AI Act provisions within Moldova's legal system.","Moldova employs data protection, human rights safeguards, and institutional strengthening mechanisms aligned with EU frameworks to govern AI development and deployment. The policy framework emphasizes democratic safeguards, rule of law principles, and mitigating risks through designated oversight bodies and transparency requirements.","Moldova utilizes a hybrid governance model combining organizational oversight through designated national authorities with model-specific governance requirements derived from EU AI Act provisions. Governance structures include coordination between data protection authorities, sector regulators, and newly established AI-focused bodies.","Governance is characterized by multi-level coordination between EU institutions, national regulatory bodies, and Moldova's government, reflecting the country's EU integration trajectory. International frameworks including EU law, Council of Europe standards, and bilateral agreements with EU member states shape Moldova's AI regulatory environment.","Enforcement mechanisms include designated national authorities with inspection and compliance oversight powers, though capacity-building and resource allocation for robust enforcement remains ongoing as Moldova develops institutional infrastructure for AI regulation.","EU AI Act (2024), AI Liability Directive (draft)",https://www.gov.md|https://www.parlament.md,2026-03-21,medium
Monaco,"Monaco applies the EU AI Act as a non-EU member through its relationship with the European Union, implementing a risk-based regulatory framework that categorizes AI systems from prohibited to high-risk with transparency obligations. The principality has adopted EU regulatory standards while developing complementary national governance mechanisms.","Monaco leverages data protection, human rights alignment, and rule of law principles as primary policy mechanisms for AI governance. The approach emphasizes institutional safeguards and forward-looking risk mitigation through compliance with EU standards.",Monaco employs a hybrid governance model combining organizational oversight with algorithmic accountability frameworks. Governance is structured through EU coordination mechanisms supplemented by national administrative bodies responsible for compliance monitoring.,"Monaco's AI regulation operates within the EU regulatory framework at the regional level, with involvement from European Commission oversight bodies and national authorities. International coordination occurs through EU-member state cooperation and broader European governance structures.","Enforcement relies on EU supervisory mechanisms combined with national administrative oversight, with moderate capacity for penalties and compliance verification through both regional and local authorities.",EU AI Act (2024),https://government.mc|https://www.europarl.europa.eu,2026-03-21,medium
Mongolia,"Mongolia has integrated AI considerations into its broader Digital Age strategy and national digital transformation initiatives, but lacks comprehensive standalone AI legislation as of early 2026. The regulatory approach remains principles-based and technology-neutral, focusing on alignment with international frameworks rather than prescriptive AI-specific rules.","Mongolia employs data-driven policy mechanisms through its digital strategy, emphasizing intellectual property protection and technology-neutral regulation. The approach relies on strategic guidance rather than binding regulatory instruments.","Governance is organized around case-by-case and organizational strategies rather than comprehensive institutional frameworks. Mongolia seeks to develop effective, technology-neutral, and principles-based regulation with enhanced IP protection mechanisms.","Mongolia's AI governance is influenced by ASEAN regulatory frameworks and international norms, positioning the country within regional Southeast Asian policy conversations. Involvement includes government strategy bodies, but specific multi-stakeholder governance structures remain underdeveloped.","Enforcement mechanisms are minimal, with Mongolia's approach focusing on strategic guidance and voluntary alignment rather than active monitoring, penalties, or audits of AI systems.",,,2026-03-21,low
Montenegro,"Montenegro applies the EU AI Act as an EU candidate country, implementing a risk-based regulatory framework that categorizes AI systems as prohibited, high-risk, or subject to transparency obligations. National transposition measures are underway to align domestic law with EU requirements, though full harmonization remains in progress.","Policy mechanisms focus on data protection, human rights safeguards, and democratic integrity through institutional oversight and compliance frameworks. The approach emphasizes mitigating AI risks through established governance structures and institutional accountability.","Governance combines organizational oversight with model-level regulation, delegating implementation to national competent authorities while coordinating with EU institutions. Montenegro's framework integrates both sectoral and cross-cutting AI governance mechanisms.","The EU AI Act framework operates at multiple levels: EU regulations, Montenegro's national implementation bodies, and intergovernmental coordination through the European Commission and member state cooperation. International alignment is embedded through Montenegro's EU candidacy status.","Enforcement mechanisms are developing through national authorities designated to oversee AI Act compliance, though full enforcement capacity and active penalty regimes are still being established in line with EU guidelines.","EU AI Act (2024), Draft AI Liability Directive (EU), Montenegro AI transposition measures (in progress as of 2026)",https://ec.europa.eu/commission/presscorner/detail/en/ip_24_1839|https://montenegro.org.me,2026-03-21,medium
Morocco,Morocco is developing a human-rights-centered approach to AI governance aligned with African Union frameworks and international initiatives. The country is engaged in early-stage policy development through regional coordination mechanisms rather than standalone domestic legislation.,"Morocco relies primarily on data governance and potential computing export controls as policy mechanisms, largely through alignment with AU and international frameworks. Specific implementation of these levers at the national level remains limited.","Morocco employs a hybrid governance model combining private sector engagement with human-centered principles, facilitated through case-by-case organizational governance rather than comprehensive legislative frameworks. Development is being coordinated through international partnerships rather than standalone national structures.","Multiple international actors are involved including the African Union, G7, and UNDP, providing technical support and policy guidance. Morocco participates in continent-wide AI governance initiatives while maintaining bilateral relationships with developed economies.","Enforcement mechanisms are nascent, relying primarily on soft governance through international cooperation and organizational compliance rather than binding national laws with penalties.",,,2026-03-21,low
Mozambique,"Mozambique is in early stages of AI governance, primarily engaging through continental African Union initiatives promoting human-rights-centered approaches rather than domestic legislation. No comprehensive national AI regulatory framework has been enacted as of March 2026.","Policy mechanisms remain largely aspirational, with data and computing export controls proposed through AU documentation but not yet implemented as binding national policy. Mozambique is developing frameworks but lacks concrete legislative instruments.","Governance structure is still formative, with emphasis on case-by-case and organizational approaches through private sector engagement and human-centered principles. No dedicated national AI governance body or institutional framework is established.","Mozambique participates in AU-led AI governance initiatives alongside UNDP and G7 engagement, reflecting continental and international collaboration. However, domestic stakeholder institutions remain underdeveloped.","Enforcement mechanisms are absent; Mozambique lacks dedicated agencies, compliance bodies, or penalties for AI-related violations.",,,2026-03-21,low
Myanmar,"Myanmar lacks comprehensive AI-specific legislation as of 2026. The country continues development of its Digital Government Masterplan (2023-30) with emerging focus on digital transformation, but binding AI regulation remains absent. Policy development remains preliminary with limited formal governance frameworks.",Myanmar uses data-driven economic development and foreign direct investment attraction as primary policy mechanisms to encourage AI adoption. The government has positioned digital infrastructure and AI capabilities as components of broader economic modernization rather than regulatory control.,Myanmar employs case-by-case ethics governance with ad-hoc oversight rather than systematic institutional frameworks. Decision-making remains centralized with limited stakeholder participation in formal AI governance structures.,Actor involvement remains limited with minimal interregional and intraregional partnerships on AI policy. Engagement primarily occurs through bilateral development partnerships rather than coordinated regional AI governance initiatives.,"No formal enforcement mechanisms for AI regulation exist, with oversight capacity remaining underdeveloped and compliance mechanisms absent.",,,2026-03-21,low
Namibia,"Namibia is in early stages of AI governance, primarily aligned with African Union human-rights-centered frameworks and continental approaches rather than domestic legislation. The country is developing AI policy through regional coordination mechanisms rather than comprehensive national regulation.",Policy mechanisms focus on data and computing export controls as part of broader African Union strategies. Namibia participates in continental discussions on data governance but has limited independent domestic policy levers implemented.,Governance follows a case-by-case and organizational approach emphasizing human-centered AI development through private sector engagement. This remains largely consultative and partnership-driven rather than institutionalized within formal government structures.,"Namibia engages through African Union frameworks, with involvement from G7 and UNDP in technical assistance and capacity building. International actors play a stronger role than domestic institutions in shaping the AI policy landscape.",Enforcement mechanisms remain minimal with no dedicated national AI oversight body or penalty structures established as of March 2026.,,,2026-03-21,low
Nauru,Nauru has no dedicated AI regulation framework as of March 2026. The country has not enacted specific legislation addressing artificial intelligence governance or oversight.,No formal policy mechanisms for AI regulation have been implemented. Nauru relies on general ICT and data protection frameworks if any exist.,No specific AI governance structure or institutional body has been established. AI oversight would likely fall under general regulatory authorities if addressed at all.,Involvement is limited to Nauru's participation in regional Pacific Island forums and potential international development partnerships. No domestic private sector or civil society engagement in AI policy is documented.,No AI-specific enforcement mechanisms exist; enforcement capacity is minimal given Nauru's limited administrative resources.,,,2026-03-21,low
Nepal,Nepal has not enacted comprehensive AI legislation but has released a draft bill focused on IT and cybersecurity management that touches on AI governance. The country is in early stages of developing a formal regulatory framework for artificial intelligence.,"Nepal's approach relies primarily on data-driven policy mechanisms, with emphasis on cybersecurity and information technology oversight. The policy framework remains largely voluntary and guideline-based rather than prescriptive.",Nepal appears to be moving toward model-based governance structures with focus on technical standards and cybersecurity protocols. Governance mechanisms remain underdeveloped with limited institutional clarity around AI-specific oversight bodies.,"Nepal has limited interregional and intraregional partnerships for AI governance, with minimal engagement from international AI policy frameworks. Domestic stakeholder coordination on AI policy remains nascent.","No active enforcement mechanisms for AI-specific regulations are currently in place, with compliance relying on voluntary adherence to cybersecurity guidelines.",,,2026-03-21,low
Netherlands,"The Netherlands operates under the EU AI Act (effective from 2024) as the primary AI-specific regulatory framework, implementing a risk-based approach categorizing AI systems from prohibited to low-risk. National implementation and complementary measures are being developed alongside EU-level directives on AI liability and the Digital Services Act.","Policy mechanisms focus on data governance, human rights protection, and democratic safeguards through mandatory transparency obligations and risk mitigation requirements. Institutional oversight emphasizes compliance with rule of law principles and fundamental rights protections.","Governance combines organizational oversight through the Dutch Data Protection Authority (AP) and emerging national AI governance structures with model-level regulation requiring documentation, impact assessments, and algorithmic transparency. The Netherlands coordinates with EU institutions and member states on harmonized implementation.","Multiple actors operate at intergovernmental (EU-level), national (Dutch government, parliament, regulatory authorities), and organizational levels including industry, civil society, and research institutions. The EU AI Act framework provides binding regional coordination while national authorities maintain implementation and enforcement responsibilities.","Enforcement involves designated national authorities with investigative powers, administrative penalties up to 6% of global turnover under EU AI Act, and ongoing monitoring through compliance audits and impact assessments.","EU AI Act (2024), Digital Services Act (2024), Dutch Data Protection Act implementation of GDPR, Liability Directive (draft/in progress as of 2026)",https://www.autoriteitpersoonsgegevens.nl|https://www.government.nl|https://eur-lex.europa.eu/eli/reg/2024/1689,2026-03-21,medium
New Zealand,"New Zealand has not enacted AI-specific legislation as of March 2026, relying instead on the voluntary Algorithm Charter and existing privacy frameworks. The government continues to develop its regulatory approach, with the Privacy Commissioner advocating for enhanced privacy protections covering biometrics and AI.","Primary policy mechanisms include data protection and privacy law, with emerging focus on biometric regulation. The Algorithm Charter serves as a voluntary governance framework for public sector agencies.","Governance remains fragmented across case-by-case sectoral approaches, relying on organizational self-regulation and privacy commissioner guidance. No centralized AI governance body or comprehensive legislative framework exists.",Primary actors are national-level institutions including the Privacy Commissioner and government agencies; engagement from private sector remains limited to voluntary participation. International coordination on AI policy is minimal.,"Enforcement is primarily through Privacy Commissioner oversight and voluntary compliance mechanisms, with limited statutory powers for AI-specific violations.",Privacy Act 2020,https://www.beehive.govt.nz|https://privacy.org.nz,2026-03-21,medium
Nicaragua,Nicaragua has not enacted specific AI legislation as of March 2026. The country relies primarily on regional commitments through the Santiago Declaration (2023) and general data protection frameworks rather than dedicated AI regulation. No national AI strategy or binding regulatory framework is currently in place.,Policy mechanisms are limited to data protection and regional cooperation frameworks. Nicaragua's approach centers on participation in regional associations and adoption of non-binding ethical principles rather than legislative mandates.,Governance remains fragmented with reliance on regional intergovernmental bodies rather than domestic institutional structures. No dedicated national AI governance agency or regulatory body has been established.,Nicaragua participates in the Intergovernmental Council on Artificial Intelligence for Latin America and the Caribbean and has endorsed the Santiago Declaration on ethical AI. Involvement is primarily through regional associations with limited domestic stakeholder coordination.,"No formal enforcement mechanisms exist for AI-specific regulations, with compliance dependent on voluntary adherence to regional declarations.",,,2026-03-21,low
Niger,Niger lacks direct national AI regulation and primarily engages with AI governance through regional African Union frameworks promoting human rights-centered approaches. The country relies on continental documentation and soft governance mechanisms rather than domestic legislation.,"Policy mechanisms focus on data and computing export controls at the regional level through AU initiatives, with limited domestic implementation infrastructure. Niger has minimal autonomous policy levers and depends on AU coordination for data governance frameworks.",Governance follows a case-by-case and organizational approach emphasizing private sector development and human-centered AI principles through AU guidance. Niger's governance structure remains nascent with limited domestic institutional capacity for AI oversight.,"Key actors include the African Union (primary driver), G7, and UNDP providing technical and policy support. Niger's involvement is primarily as a beneficiary of continental and international capacity-building initiatives rather than as an independent policy architect.","Enforcement mechanisms are minimal, with no dedicated domestic enforcement body or penalty framework for AI-related violations in Niger.",,,2026-03-21,low
Nigeria,"Nigeria is in the draft and development phase of AI regulation, with a National AI Strategy under active development as of 2024-2025. The country has not yet enacted AI-specific legislation but is moving toward a comprehensive regulatory framework through government initiatives and stakeholder engagement.","Data protection and responsible AI principles are the primary policy mechanisms, with focus on consumer rights and data governance. The regulatory approach emphasizes sectoral oversight through existing bodies like the NCC rather than dedicated AI legislation.","Governance is transitioning from ad-hoc organizational approaches to a more structured national framework, involving multiple agencies including the NCC and federal government bodies. The structure remains case-and-organizational with national-level coordination rather than unified regulatory authority.","Multiple national-level actors including NCC, federal government agencies, and industry stakeholders are involved in developing the AI framework. Engagement remains primarily at the national level with limited international coordination mechanisms evident.","Enforcement mechanisms are minimal and not yet formally established, as no comprehensive AI law has been enacted; existing enforcement relies on sectoral regulators like NCC with soft oversight approaches.",,,2026-03-21,medium
North Korea,North Korea has no publicly documented AI regulation or policy framework as of 2026. The regime's information control and isolation from international AI governance discussions suggest AI regulation is not a stated policy priority.,"No identified policy mechanisms, guidelines, or regulatory levers for AI governance exist in publicly available sources. Any AI development occurs under general state control mechanisms rather than specific AI policy.","Governance of AI, to the extent it occurs, would fall under the general state monopoly on technology and information control exercised by the Workers' Party of Korea and state security apparatus, rather than a dedicated AI governance structure.","No identifiable state agencies, private sector actors, or international partners are documented as participating in formal AI governance in North Korea. AI development activity remains opaque and geographically isolated.","No documented enforcement mechanisms for AI governance exist, though general state censorship and control systems apply to all technology sectors.",,,2026-03-21,high
Norway,"Norway follows a risk-based approach aligned with EU AI Act implementation through EEA mechanisms, with no standalone AI-specific legislation yet enacted. The country operates a regulatory sandbox and has established an AI ethics framework under its National Strategy, positioning itself for eventual AI Act adoption.","Norway employs data-driven policy mechanisms centered on data protection and privacy frameworks, supplemented by ethics guidelines and sandbox experimentation. The approach leverages existing GDPR/data protection infrastructure as the primary regulatory lever for AI oversight.","Governance is organized through case-by-case and organizational assessment mechanisms, coordinated by national and governmental agencies including data protection authorities. Multi-stakeholder coordination occurs through Nordic frameworks, as evidenced by joint data protection authority declarations.","Primary actors include national data protection authorities, government agencies, and Nordic collaborative bodies (Datatilsynet and Nordic DPA network). International coordination through EEA mechanisms and EU alignment shapes policy development at the national level.","Enforcement operates through existing data protection authority mechanisms and Nordic DPA coordination with soft enforcement through declarations and guidelines, with administrative fines available under data protection frameworks but limited AI-specific enforcement infrastructure.","EU AI Act (forthcoming adoption), Personal Data Act (2018), GDPR",https://www.datatilsynet.no|https://www.regjeringen.no|https://edpb.ec.europa.eu,2026-03-21,medium
Oman,"Oman maintains a nascent approach to AI regulation, primarily guided by the 2021 strategic framework 'Future Opportunities for Artificial Intelligence Applications and Advanced Technologies in the Sultanate of Oman.' As of March 2026, no comprehensive AI-specific legislation has been enacted, though regulatory development remains in early stages.","Oman's primary policy mechanisms focus on data governance, privacy protection, and institutional frameworks for reviewing and updating AI-related policies. The approach emphasizes community engagement and data collection governance as central levers for managing AI applications.","Governance remains largely organizational and advisory, centered on ethical, fair, and safe AI use through policy review and community-based privacy frameworks. Formal regulatory bodies with binding authority over AI applications have not been fully established.","National-level policy actors drive AI governance, with involvement from relevant government ministries and advisory bodies. International cooperation and private sector engagement in AI ethics remain limited in scope.","Enforcement mechanisms remain minimal, with no dedicated AI enforcement bodies or penalty structures in place as of early 2026.",,,2026-03-21,low
Pakistan,"Pakistan has no AI-specific legislation enacted as of March 2026, but maintains an active draft national AI policy that includes provisions for establishing a regulatory directorate. The government continues consultation phases with stakeholders to finalize comprehensive AI governance framework.","Pakistan relies primarily on voluntary guidelines and sectoral oversight through existing regulatory bodies (PTA, SBP) rather than dedicated AI policy mechanisms. The proposed regulatory directorate within the draft policy aims to establish more structured policy levers once finalized.","Governance is fragmented across multiple sectoral regulators (Pakistan Telecommunication Authority, State Bank of Pakistan, SECP) with no centralized AI governance body operational yet. The draft policy proposes establishment of a dedicated AI regulatory directorate under relevant ministry.","Involvement includes federal government agencies, industry consultations, and international partnerships with organizations like UNDP on digital policy. Scope remains primarily national with limited provincial coordination mechanisms documented.",No formal AI-specific enforcement mechanisms exist; compliance relies on indirect oversight through existing sectoral regulators without dedicated audit or penalty frameworks for AI violations.,,,2026-03-21,medium
Palau,Palau has not established dedicated AI regulation or a national AI policy framework as of March 2026. The country relies on general ICT and data protection frameworks rather than AI-specific governance.,No AI-specific policy levers have been implemented. Palau's regulatory approach remains limited to existing telecommunications and general digital governance mechanisms.,"Governance of AI is not formally structured, with responsibility diffused across general ICT authorities rather than dedicated AI governance bodies or agencies.",Involvement is limited primarily to government ICT agencies and regional bodies like the Pacific Islands Forum. International engagement on AI governance remains minimal.,No AI-specific enforcement mechanisms exist; enforcement relies on general ICT and consumer protection frameworks with minimal dedicated resources.,,,2026-03-21,low
Panama,Panama has not enacted dedicated AI legislation as of 2026 but participates in regional AI governance frameworks. The country relies primarily on existing data protection and consumer protection laws rather than AI-specific regulation.,"Panama's approach centers on data protection and voluntary adherence to regional declarations, particularly the Santiago Declaration on Ethical AI signed in 2023. No comprehensive national AI strategy or sector-specific regulatory mechanisms are currently in place.",Governance is primarily coordinated through regional organizational structures and intergovernmental bodies rather than domestic institutional frameworks. The Intergovernmental Council on Artificial Intelligence for Latin America and the Caribbean serves as the primary governance vehicle for AI policy alignment.,"Key actors include the regional Intergovernmental Council on AI for Latin America and the Caribbean, with Panama as a signatory to the Santiago Declaration (2023). Engagement remains primarily at the regional level with limited domestic-level institutional involvement.",No specific AI-related enforcement mechanisms exist; compliance relies on voluntary adoption of regional principles and existing general regulatory frameworks.,,,2026-03-21,low
Papua New Guinea,"Papua New Guinea has no dedicated AI regulation framework as of March 2026. The country lacks specific legislation, national AI strategy, or formal governance structures addressing artificial intelligence.",No identifiable policy mechanisms or regulatory levers specific to AI have been implemented. General ICT and data protection frameworks may tangentially apply but are not AI-focused.,No formal governance structure exists for AI oversight in Papua New Guinea. Responsibility would theoretically fall under general ICT or telecommunications authorities if addressed at all.,"Limited documented involvement of government agencies, private sector, or international bodies in AI regulation at the national level. Engagement remains minimal and largely reactive.",No enforcement mechanisms exist for AI-specific regulations due to the absence of regulatory framework.,,,2026-03-21,medium
Paraguay,Paraguay has no dedicated national AI regulation or comprehensive AI policy framework as of March 2026. The country relies primarily on international commitments and regional declarations rather than domestic legislation.,"Paraguay's primary policy engagement is through regional mechanisms, particularly the Santiago Declaration (2023) which promotes ethical AI principles. No specific domestic policy levers such as data protection, algorithmic accountability, or sectoral AI rules have been formally implemented.",Governance remains organizationally fragmented with no dedicated national AI authority or coordinating body. Paraguay participates in regional intergovernmental structures through the Intergovernmental Council on Artificial Intelligence for Latin America and the Caribbean.,Primary involvement is through regional association participation (ICCAI-LAC) and international cooperation frameworks. Domestic private sector and academic institutions have minimal formalized roles in AI governance.,"No active enforcement mechanisms exist for AI regulation at the national level, as no binding domestic AI laws have been enacted.",,,2026-03-21,medium
Peru,"Peru is advancing risk-based AI regulation through a draft bill (Law 31814) inspired by the EU AI Act framework, launched in consultation in February 2024. The country has established foundational commitments through Emergency Decree No. 007-2020 mandating ethical use of digital technologies by public and private entities.",Peru employs data-driven policy mechanisms focused on ethical standards and risk-based classification of AI systems. Governance emphasizes promoting social and economic strength through regulated digital technology use.,"Peru operates a case-based governance structure aimed at balancing AI innovation with ethical oversight, supported by national incentives and intergovernmental coordination. Authority is distributed between public entities and private sector organizations with national coordination mechanisms.","Peru participates in regional governance through the Intergovernmental Council on Artificial Intelligence for Latin America and the Caribbean, having signed the 2023 Santiago Declaration on Ethical AI. National implementation involves coordination between public and private sector actors at the national level.",Enforcement mechanisms remain limited as primary AI regulation is still in draft stage; existing Emergency Decree No. 007-2020 provides foundational obligations but lacks specific penalties or active enforcement structures.,"Emergency Decree No. 007-2020, Law 31814 (draft)",https://www.gob.pe/,2026-03-21,medium
